Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Cause,Human Review
4/8/1968,15:35,"Heathrow Airport, London, England",British Overseas Airways,712,London - Zurich,Boeing B-707-465,G-ARWE,18373,127.0,5.0,0.0,"Shortly after leaving the runway during takeoff the No. 2 engine caught fire. Through some confusion, the crew did not pull the fire shutoff handle. The fire continued to burn and while attempting to land, the No. 2 engine fell away. After the plane came to a stop, the wing tank exploded.","fire, mechanical","fire, mechanical"
9/26/1926,,"New York, New York",,,New York - Paris,Sikorsky S-25,,,5.0,2.0,0.0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.,mechanical,mechanical
5/17/1950,20:59,"Lagens Air Force Base, Azores",Military - U.S. Air Force,,Bermuda - England,Boeing B-29,,,16.0,16.0,0.0,Crashed while attempting to land after being diverted to Lagens due to engine trouble.,mechanical,mechanical
9/25/1973,6:18,"Lincoln, Nebraska",Lisa Jet Inc. - Air Taxi,,"Lincoln, NB - Omaha, NB",Gates Lear 25,N40LB,,3.0,3.0,0.0,Crashed while in initial climb. Inadequate preflight preparation. Poor crew coordination.,pilot_error,pilot_error
5/10/1996,,"Otaez, Mexico",Aeroservicios Empresariales de Durango,,Durango - Otaez,de Havilland Canada DHC-6 Twin Otter 200,XA-SWJ,126,19.0,16.0,0.0,Crashed into high ground while attempting to land at a mine airstrip in turbulence and stong gusty winds.,weather,"weather, cfit"
4/1/1935,,"Beauvais, France",Air France,,,Farman F-300,F-ALHQ,,3.0,1.0,0.0,"Chief pilot of Air France, Robert Bajac, 36, killed.",unknown,unknown
5/15/1967,,"Cape Dyer, Canada",Nordair,,,Curtiss C-46T,CF-NAD,30200,4.0,4.0,0.0,Crashed short of the runway in whiteout conditions. Improper  procedures by crew in whiteout weather conditions.,"weather, pilot_error","weather, pilot_error"
8/7/1980,3:00,"Nouadhibou, Mauretania",Tarom,,Bucurest  - Nouadhibou,Tupolev TU-154B-1,YR-TPH,277,168.0,1.0,0.0,"The aircraft touched down in water 1,000 ft. short of the runway.",unknown,cfit
4/9/2008,23:27,"Bundeena, Australia",Avtex Air Services,,Sydney - Brisbane,Swearingen SA227AC Metroliner III,VH-OZA,AC-600,1.0,1.0,0.0,The pilot of the mail plane reported some minor problems before the aircraft disapppeared off radar.,unknown,mechanical
1/5/2000,,"Abuja, Nigeria",Skypower Express Airways,,Lagos - Abuja,Embraer 110P1A Bandeirante,5N-AXL,110-455,16.0,1.0,1.0,During a visual approach the aircraft stalled and pancaked 400 ft. short of the runway.,pilot_error,pilot_error
